"creation_date_gmt";"count"
"";"0"
"2019-03-21";"27"
"2019-03-20";"43"
"2019-03-19";"16"
"2019-03-18";"15"
"2019-03-14";"28"
"2019-03-13";"8"
"2019-03-12";"29"
"2019-03-11";"31"
"2019-03-08";"17"
"2019-03-07";"21"
"2019-03-06";"25"
"2019-03-05";"45"
"2019-03-04";"23"
"2019-03-01";"44"
"2019-02-28";"37"
"2019-02-27";"38"
"2019-02-26";"18"
"2019-02-25";"23"
"2019-02-22";"13"
"2019-02-21";"25"
"2019-02-20";"17"
"2019-02-19";"48"
"2019-02-18";"58"
"2019-02-15";"25"
"2019-02-14";"56"
"2019-02-13";"51"
"2019-02-12";"64"
"2019-02-11";"14"
"2019-02-08";"27"
"2019-02-07";"46"
"2019-02-06";"41"
"2019-02-05";"60"
"2019-02-04";"24"
"2019-01-31";"21"
"2019-01-30";"24"
"2019-01-29";"25"
"2019-01-28";"22"
"2019-01-25";"38"
"2019-01-24";"26"
"2019-01-23";"12"
"2019-01-22";"22"
"2019-01-18";"31"
"2019-01-17";"38"
"2019-01-16";"15"
"2019-01-15";"55"
"2019-01-14";"50"
"2019-01-11";"18"
"2019-01-10";"20"
"2019-01-08";"6"
"2019-01-07";"22"
"2019-01-03";"10"
"2019-01-02";"22"
"2018-12-21";"31"
"2018-12-20";"61"
"2018-12-19";"26"
"2018-12-18";"7"
"2018-12-14";"11"
"2018-12-13";"28"
"2018-12-12";"34"
"2018-12-11";"45"
"2018-12-10";"30"
"2018-12-07";"27"
"2018-12-06";"19"
"2018-12-05";"16"
"2018-12-04";"72"
"2018-12-03";"42"
"2018-11-30";"47"
"2018-11-29";"35"
"2018-11-28";"54"
"2018-11-27";"36"
"2018-11-20";"38"
"2018-11-19";"22"
"2018-11-16";"7"
"2018-11-15";"70"
"2018-11-14";"20"
"2018-11-13";"12"
"2018-11-12";"14"
"2018-11-09";"33"
"2018-11-08";"28"
"2018-11-07";"5"
"2018-11-06";"26"
"2018-11-05";"10"
"2018-10-31";"25"
"2018-10-30";"39"
"2018-10-29";"23"
"2018-10-26";"27"
"2018-10-25";"30"
"2018-10-24";"36"
"2018-10-23";"36"
"2018-10-22";"6"
"2018-10-19";"3"
"2018-10-18";"22"
"2018-10-17";"13"
"2018-10-16";"46"
"2018-10-15";"22"
"2018-10-12";"35"
"2018-10-11";"9"
"2018-10-10";"20"
"2018-10-09";"7"
"2018-10-08";"35"
"2018-10-04";"11"
"2018-10-03";"26"
"2018-10-02";"31"
"2018-10-01";"24"
"2018-09-28";"9"
"2018-09-27";"19"
"2018-09-25";"21"
"2018-09-24";"10"
"2018-09-21";"26"
"2018-09-20";"27"
"2018-09-19";"46"
"2018-09-18";"63"
"2018-09-17";"17"
"2018-09-14";"28"
"2018-09-13";"27"
"2018-09-12";"32"
"2018-09-11";"20"
"2018-09-10";"33"
"2018-09-07";"16"
"2018-09-06";"7"
"2018-09-05";"3"
"2018-09-04";"29"
"2018-08-31";"33"
"2018-08-30";"34"
"2018-08-29";"20"
"2018-08-28";"19"
"2018-08-27";"12"
"2018-08-24";"21"
"2018-08-23";"11"
"2018-08-22";"17"
"2018-08-21";"17"
"2018-08-20";"20"
"2018-08-17";"4"
"2018-08-16";"34"
"2018-08-15";"34"
"2018-08-14";"22"
"2018-08-13";"112"
"2018-08-10";"12"
"2018-08-09";"13"
"2018-08-08";"14"
"2018-08-07";"55"
"2018-08-06";"74"
"2018-08-02";"4"
"2018-08-01";"14"
"2018-07-31";"22"
"2018-07-30";"5"
"2018-07-27";"13"
"2018-07-26";"10"
"2018-07-25";"46"
"2018-07-24";"33"
"2018-07-23";"40"
"2018-07-20";"9"
"2018-07-19";"32"
"2018-07-18";"15"
"2018-07-17";"65"
"2018-07-16";"25"
"2018-07-13";"17"
"2018-07-12";"14"
"2018-07-11";"14"
"2018-07-10";"27"
"2018-07-09";"17"
"2018-07-06";"38"
"2018-07-05";"34"
"2018-07-03";"38"
"2018-07-02";"31"
"2018-06-29";"15"
"2018-06-28";"58"
"2018-06-27";"40"
"2018-06-26";"33"
"2018-06-25";"20"
"2018-06-22";"51"
"2018-06-21";"15"
"2018-06-20";"41"
"2018-06-19";"34"
"2018-06-18";"26"
"2018-06-15";"25"
"2018-06-14";"8"
"2018-06-13";"44"
"2018-06-12";"30"
"2018-06-07";"17"
"2018-06-06";"13"
"2018-06-04";"9"
"2018-06-01";"15"
"2018-05-31";"32"
"2018-05-30";"12"
"2018-05-29";"8"
"2018-05-25";"14"
"2018-05-24";"19"
"2018-05-23";"12"
"2018-05-22";"32"
"2018-05-21";"24"
"2018-05-17";"31"
"2018-05-16";"27"
"2018-05-15";"35"
"2018-05-14";"18"
"2018-05-10";"24"
"2018-05-09";"30"
"2018-05-08";"24"
"2018-05-07";"21"
"2018-05-04";"27"
"2018-05-03";"15"
"2018-05-02";"52"
"2018-05-01";"38"
"2018-04-30";"37"
"2018-04-27";"33"
"2018-04-26";"39"
"2018-04-25";"20"
"2018-04-24";"29"
"2018-04-23";"77"
"2018-04-19";"70"
"2018-04-18";"49"
"2018-04-17";"28"
"2018-04-16";"5"
"2018-04-13";"18"
"2018-04-12";"34"
"2018-04-10";"33"
"2018-04-09";"18"
"2018-04-06";"11"
"2018-04-05";"21"
"2018-04-04";"11"
"2018-04-03";"36"
"2018-04-02";"22"
"2018-03-30";"8"
"2018-03-29";"40"
"2018-03-28";"23"
"2018-03-27";"25"
"2018-03-26";"19"
"2018-03-22";"49"
"2018-03-21";"16"
"2018-03-19";"41"
"2018-03-16";"29"
"2018-03-15";"32"
"2018-03-14";"17"
"2018-03-13";"30"
"2018-03-12";"43"
"2018-03-09";"24"
"2018-03-08";"39"
"2018-03-06";"22"
"2018-03-01";"30"
"2018-02-28";"31"
"2018-02-27";"13"
"2018-02-26";"19"
"2018-02-22";"5"
"2018-02-21";"22"
"2018-02-20";"60"
"2018-02-19";"17"
"2018-02-16";"25"
"2018-02-15";"13"
"2018-02-14";"41"
"2018-02-13";"36"
"2018-02-12";"31"
"2018-02-09";"25"
"2018-02-08";"6"
"2018-02-07";"1"
"2018-01-30";"50"
"2018-01-29";"76"
"2018-01-25";"39"
"2018-01-24";"12"
"2018-01-23";"21"
"2018-01-22";"9"
"2018-01-19";"21"
"2018-01-18";"13"
"2018-01-17";"18"
"2018-01-16";"28"
"2018-01-12";"14"
"2018-01-11";"26"
"2018-01-10";"6"
"2018-01-09";"14"
"2018-01-08";"60"
"2018-01-05";"36"
"2018-01-04";"32"
"2018-01-03";"2"
"2017-12-22";"21"
"2017-12-21";"57"
"2017-12-20";"25"
"2017-12-19";"47"
"2017-12-18";"3"
"2017-12-15";"16"
"2017-12-14";"14"
"2017-12-13";"10"
"2017-12-12";"37"
"2017-12-11";"17"
"2017-12-08";"14"
"2017-12-07";"3"
"2017-12-06";"20"
"2017-12-05";"19"
"2017-12-04";"31"
"2017-12-01";"15"
"2017-11-30";"49"
"2017-11-29";"33"
"2017-11-28";"17"
"2017-11-27";"20"
"2017-11-20";"19"
"2017-11-16";"4"
"2017-11-15";"15"
"2017-11-09";"38"
"2017-11-08";"39"
"2017-11-07";"45"
"2017-11-06";"6"
"2017-11-03";"7"
"2017-11-02";"16"
"2017-11-01";"42"
"2017-10-31";"47"
"2017-10-30";"8"
"2017-10-27";"19"
"2017-10-26";"73"
"2017-10-25";"46"
"2017-10-24";"29"
"2017-10-23";"6"
"2017-10-20";"4"
"2017-10-19";"32"
"2017-10-18";"59"
"2017-10-17";"40"
"2017-10-16";"35"
"2017-10-13";"35"
"2017-10-12";"18"
"2017-10-11";"5"
"2017-10-10";"8"
"2017-10-09";"7"
"2017-10-06";"20"
"2017-10-05";"26"
"2017-10-04";"30"
"2017-10-03";"35"
"2017-10-02";"32"
"2017-09-29";"56"
"2017-09-28";"59"
"2017-09-27";"11"
"2017-09-26";"51"
"2017-09-25";"38"
"2017-09-22";"15"
"2017-09-21";"23"
"2017-09-20";"25"
"2017-09-18";"85"
"2017-09-14";"56"
"2017-09-13";"14"
"2017-09-12";"29"
"2017-09-11";"22"
"2017-09-07";"13"
"2017-09-06";"17"
"2017-09-05";"28"
"2017-08-30";"5"
"2017-08-29";"17"
"2017-08-28";"6"
"2017-08-25";"20"
"2017-08-24";"19"
"2017-08-23";"5"
"2017-08-22";"4"
"2017-08-21";"71"
"2017-08-18";"16"
"2017-08-17";"16"
"2017-08-16";"12"
"2017-08-15";"25"
"2017-08-14";"9"
"2017-08-11";"30"
"2017-08-10";"24"
