"creation_date_gmt";"count"
"";"0"
"2019-03-21";"44"
"2019-03-20";"1702"
"2019-03-19";"41"
"2019-03-18";"53"
"2019-03-17";"23"
"2019-03-16";"21"
"2019-03-15";"62"
"2019-03-14";"302"
"2019-03-13";"78"
"2019-03-12";"54"
"2019-03-11";"80"
"2019-03-10";"8"
"2019-03-09";"15"
"2019-03-08";"60"
"2019-03-07";"515"
"2019-03-06";"68"
"2019-03-05";"79"
"2019-03-04";"98"
"2019-03-03";"21"
"2019-03-02";"31"
"2019-03-01";"153"
"2019-02-28";"168"
"2019-02-27";"155"
"2019-02-26";"80"
"2019-02-25";"480"
"2019-02-24";"18"
"2019-02-23";"18"
"2019-02-22";"58"
"2019-02-21";"75"
"2019-02-20";"57"
"2019-02-19";"54"
"2019-02-18";"134"
"2019-02-17";"27"
"2019-02-16";"19"
"2019-02-15";"84"
"2019-02-14";"2260"
"2019-02-13";"55"
"2019-02-12";"86"
"2019-02-11";"101"
"2019-02-10";"30"
"2019-02-09";"20"
"2019-02-08";"48"
"2019-02-07";"82"
"2019-02-06";"208"
"2019-02-05";"83"
"2019-02-04";"175"
"2019-02-03";"18"
"2019-02-02";"19"
"2019-02-01";"57"
"2019-01-31";"223"
"2019-01-30";"56"
"2019-01-29";"115"
"2019-01-28";"109"
"2019-01-27";"31"
"2019-01-26";"20"
"2019-01-25";"75"
"2019-01-24";"62"
"2019-01-23";"679"
"2019-01-22";"63"
"2019-01-21";"40"
"2019-01-20";"17"
"2019-01-19";"20"
"2019-01-18";"89"
"2019-01-17";"106"
"2019-01-16";"77"
"2019-01-15";"71"
"2019-01-14";"983"
"2019-01-13";"14"
"2019-01-12";"7"
"2019-01-11";"95"
"2019-01-10";"38"
"2019-01-09";"365"
"2019-01-08";"106"
"2019-01-07";"806"
"2019-01-06";"14"
"2019-01-05";"6"
"2019-01-04";"59"
"2019-01-03";"46"
"2019-01-02";"31"
"2019-01-01";"26"
"2018-12-31";"10"
"2018-12-30";"9"
"2018-12-29";"5"
"2018-12-28";"8"
"2018-12-27";"6"
"2018-12-26";"15"
"2018-12-25";"2"
"2018-12-24";"3"
"2018-12-23";"4"
"2018-12-22";"2"
"2018-12-21";"31"
"2018-12-20";"114"
"2018-12-19";"129"
"2018-12-18";"41"
"2018-12-17";"463"
"2018-12-16";"76"
"2018-12-15";"4"
"2018-12-14";"513"
"2018-12-13";"952"
"2018-12-12";"729"
"2018-12-11";"68"
"2018-12-10";"452"
"2018-12-09";"4"
"2018-12-08";"6"
"2018-12-07";"43"
"2018-12-06";"50"
"2018-12-05";"42"
"2018-12-04";"37"
"2018-12-03";"248"
"2018-12-02";"12"
"2018-12-01";"20"
"2018-11-30";"78"
"2018-11-29";"115"
"2018-11-28";"323"
"2018-11-27";"163"
"2018-11-26";"72"
"2018-11-25";"37"
"2018-11-24";"11"
"2018-11-23";"9"
"2018-11-22";"2"
"2018-11-21";"165"
"2018-11-20";"66"
"2018-11-19";"167"
"2018-11-18";"10"
"2018-11-17";"15"
"2018-11-16";"116"
"2018-11-15";"814"
"2018-11-14";"816"
"2018-11-13";"383"
"2018-11-12";"79"
"2018-11-11";"9"
"2018-11-10";"5"
"2018-11-09";"38"
"2018-11-08";"65"
"2018-11-07";"79"
"2018-11-06";"58"
"2018-11-05";"1071"
"2018-11-04";"15"
"2018-11-03";"9"
"2018-11-02";"105"
"2018-11-01";"48"
"2018-10-31";"66"
"2018-10-30";"105"
"2018-10-29";"210"
"2018-10-28";"10"
"2018-10-27";"8"
"2018-10-26";"70"
"2018-10-25";"399"
"2018-10-24";"125"
"2018-10-23";"226"
"2018-10-22";"228"
"2018-10-21";"31"
